rating,text,date,author,clean_text,sentiment_score,sentiment_category,text_length,word_count,rating_category
5,Отличный товар! Качество превзошло все ожидания. Доставка была быстрой.,2024-01-15,Анна К.,отличный товар! качество превзошло все ожидания. доставка была быстрой.,1.0,Позитивная,71,9,Высокий
4,"Хороший продукт, но упаковка могла быть лучше. В целом доволен покупкой.",2024-01-18,Михаил П.,"хороший продукт, но упаковка могла быть лучше. в целом доволен покупкой.",1.0,Позитивная,72,11,Высокий
3,"Средний товар. Есть как плюсы, так и минусы. За эту цену нормально.",2024-01-20,Елена В.,"средний товар. есть как плюсы, так и минусы. за эту цену нормально.",0.0,Нейтральная,67,12,Средний
2,Не очень качественно сделано. Не соответствует описанию на сайте.,2024-01-22,Дмитрий Л.,не очень качественно сделано. не соответствует описанию на сайте.,0.0,Нейтральная,65,9,Низкий
1,Ужасное качество! Деньги потрачены зря. Не рекомендую никому.,2024-01-25,Ольга С.,ужасное качество! деньги потрачены зря. не рекомендую никому.,-1.0,Негативная,61,8,Низкий
5,"Просто великолепно! Быстрая доставка, отличное качество, рекомендую всем!",2024-01-28,Алексей Н.,"просто великолепно! быстрая доставка, отличное качество, рекомендую всем!",1.0,Позитивная,73,8,Высокий
4,"Качественный товар. Небольшие недочеты, но в целом очень хорошо.",2024-02-01,Мария Т.,"качественный товар. небольшие недочеты, но в целом очень хорошо.",0.0,Нейтральная,64,9,Высокий
3,"Обычный товар. Ничего особенного, но свою функцию выполняет.",2024-02-03,Владимир К.,"обычный товар. ничего особенного, но свою функцию выполняет.",0.0,Нейтральная,60,8,Средний
5,Превосходное качество! Уже второй раз заказываю. Очень доволен!,2024-02-05,Ирина М.,превосходное качество! уже второй раз заказываю. очень доволен!,1.0,Позитивная,63,8,Высокий
2,Товар пришел с дефектами. Служба поддержки отвечает медленно.,2024-02-08,Сергей Б.,товар пришел с дефектами. служба поддержки отвечает медленно.,-1.0,Негативная,61,8,Низкий
4,Хорошее соотношение цена-качество. Доставили вовремя.,2024-02-10,Андрей Ф.,хорошее соотношение ценакачество. доставили вовремя.,0.0,Нейтральная,53,5,Высокий
5,Отличный сервис! Товар соответствует всем ожиданиям.,2024-02-12,Наталья Р.,отличный сервис! товар соответствует всем ожиданиям.,1.0,Позитивная,52,6,Высокий
3,"Нормальный товар, но есть нюансы в качестве материала.",2024-02-14,Павел Ж.,"нормальный товар, но есть нюансы в качестве материала.",0.0,Нейтральная,54,8,Средний
1,Полное разочарование. Товар не работает как заявлено.,2024-02-16,Татьяна Д.,полное разочарование. товар не работает как заявлено.,-1.0,Негативная,53,7,Низкий
5,Замечательная покупка! Буду рекомендовать друзьям.,2024-02-18,Игорь В.,замечательная покупка! буду рекомендовать друзьям.,0.0,Нейтральная,50,5,Высокий
4,Почти идеально. Единственный минус - долгая доставка.,2024-02-20,Юлия К.,почти идеально. единственный минус  долгая доставка.,0.0,Нейтральная,53,7,Высокий
2,Качество хуже ожидаемого. Не стоит своих денег.,2024-02-22,Роман М.,качество хуже ожидаемого. не стоит своих денег.,-1.0,Негативная,47,7,Низкий
5,Прекрасный товар! Качество на высшем уровне.,2024-02-24,Светлана П.,прекрасный товар! качество на высшем уровне.,1.0,Позитивная,44,6,Высокий
