rating,text,date,author
5,Отличный товар! Качество превзошло все ожидания. Доставка была быстрой.,2024-01-15,Анна К.
4,"Хороший продукт, но упаковка могла быть лучше. В целом доволен покупкой.",2024-01-18,Михаил П.
3,"Средний товар. Есть как плюсы, так и минусы. За эту цену нормально.",2024-01-20,Елена В.
2,Не очень качественно сделано. Не соответствует описанию на сайте.,2024-01-22,Дмитрий Л.
1,Ужасное качество! Деньги потрачены зря. Не рекомендую никому.,2024-01-25,Ольга С.
5,"Просто великолепно! Быстрая доставка, отличное качество, рекомендую всем!",2024-01-28,Алексей Н.
4,"Качественный товар. Небольшие недочеты, но в целом очень хорошо.",2024-02-01,Мария Т.
3,"Обычный товар. Ничего особенного, но свою функцию выполняет.",2024-02-03,Владимир К.
5,Превосходное качество! Уже второй раз заказываю. Очень доволен!,2024-02-05,Ирина М.
2,Товар пришел с дефектами. Служба поддержки отвечает медленно.,2024-02-08,Сергей Б.
4,Хорошее соотношение цена-качество. Доставили вовремя.,2024-02-10,Андрей Ф.
5,Отличный сервис! Товар соответствует всем ожиданиям.,2024-02-12,Наталья Р.
3,"Нормальный товар, но есть нюансы в качестве материала.",2024-02-14,Павел Ж.
1,Полное разочарование. Товар не работает как заявлено.,2024-02-16,Татьяна Д.
5,Замечательная покупка! Буду рекомендовать друзьям.,2024-02-18,Игорь В.
4,Почти идеально. Единственный минус - долгая доставка.,2024-02-20,Юлия К.
2,Качество хуже ожидаемого. Не стоит своих денег.,2024-02-22,Роман М.
5,Прекрасный товар! Качество на высшем уровне.,2024-02-24,Светлана П.
